raison,adresse_1,adresses_2,catégorie,produit,quantité,prix unitaire,date
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Composants d'électroniques analogiques,Memristor,34,24.92,2020-12-29
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants d'électroniques numériques,Mémoire informatique,32,23.77,2020-12-29
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Roue codeuse,2,2.31,2020-12-30
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Interrupteur,48,9.03,2020-12-30
Maury Excel Dépanneur Plus,3 chemin Dupuis,41146 Gonzalez,Composants servant d'interface humaine,Commutateur,47,2.58,2020-12-30
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Roue codeuse,8,2.31,2020-12-30
Leroux Plate-forme Elec Plus,1 rue Brunel,19328 Pelletierdan,Composants d'électroniques analogiques,Memristor,43,25.42,2020-12-30
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Haut-parleur,21,14.26,2020-12-30
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Composants d'électroniques numériques,Mémoire informatique,43,23.77,2020-12-30
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Microprocesseur,43,6.38,2020-12-31
Adam Giga Dépanneur Spécialiste,4 avenue de Joseph,64601 Sainte Marianneboeuf,Composants servant d'interface humaine,Commutateur,45,2.53,2020-12-31
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Thermistance,40,20.86,2020-12-31
Samson Giga Dépanneur Pro,67 rue Aurore Albert,86954 Royer-sur-Dijoux,Capteur,Capteur optique,49,14.79,2020-12-31
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Haut-parleur,50,14.26,2020-12-31
Bonnet Excel Électricité Pièces,77 rue Georges Martins,12531 Bourgeois,Composants servant d'interface humaine,Roue codeuse,41,2.46,2021-01-01
Picard Giga Électricité 2000,301 rue Isaac Collet,32668 Reynaud,Composants d'électroniques numériques,Quartz,23,15.99,2021-01-01
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,LED,23,3.61,2021-01-01
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Microprocesseur,42,6.38,2021-01-01
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques analogiques,Transistor,18,33.63,2021-01-01
Leroux Giga Elec Pièces,22 rue de Dijoux,43767 Giraud,Composants servant d'interface humaine,Haut-parleur,18,14.84,2021-01-01
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Composants servant d'interface humaine,Commutateur,8,2.53,2021-01-01
Roger Appolo Elec Spécialiste,1 rue de Guyot,20249 Huetboeuf,Capteur,Capteur de luminosité,27,14.2,2021-01-02
Barthelemy Appolo Dépanneur Pièces,25 avenue Gimenez,95153 CharlesVille,Composants d'électroniques analogiques,Photocoupleur,18,10.08,2021-01-02
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants servant d'interface humaine,Roue codeuse,11,2.36,2021-01-02
Valentin Confiance Elec Spécialiste,53 avenue Raymond Leconte,74678 Blot,Composants d'électroniques analogiques,Inductance,10,,2021-01-02
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques analogiques,Memristor,19,24.43,2021-01-02
Chretien Giga Elec Pro,464 rue de Duval,58242 Saint Noémi,Composants servant d'interface humaine,Haut-parleur,23,15.14,2021-01-02
Gosselin Confiance Électricité Composants,31 chemin de Benard,24506 Gilles,Capteur,Capteur de champ magnétique,3,15.28,2021-01-02
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Mémoire informatique,32,21.52,2021-01-02
Pruvost-Guerin Excel Dépanneur Pièces,99 rue Alix Menard,40360 Chevallier,Capteur,Capteur de luminosité,37,14.2,2021-01-02
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Capteur,Microphone,31,11.89,2021-01-02
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants servant d'interface humaine,LED,34,3.61,2021-01-02
Gosselin Giga Dépanneur ++,51 chemin Auguste Martineau,59253 Mercier-sur-Hardy,Composants servant d'interface humaine,Roue codeuse,19,2.41,2021-01-02
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Capteur,Capteur de luminosité,20,13.92,2021-01-03
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,Roue codeuse,17,2.31,2021-01-03
Brun Plate-forme Elec Spécialiste,81 boulevard de Meyer,53723 Chauvet,Composants d'électroniques numériques,Microprocesseur,39,6.64,2021-01-03
Lamy Plate-forme Électricité Pro,12 rue Dijoux,35047 Auger,Capteur,Microphone,9,12.62,2021-01-03
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Roue codeuse,28,2.31,2021-01-03
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Composants d'électroniques numériques,Microprocesseur,39,6.38,2021-01-03
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Capteur,Microphone,10,12.37,2021-01-03
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,LED,23,3.54,2021-01-03
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Capteur,Thermistance,6,20.86,2021-01-04
Blin Plate-forme Dépanneur ++,99 rue Adrien Raynaud,51487 Gomes-sur-Foucher,Composants servant d'interface humaine,Interrupteur,1,9.77,2021-01-04
Adam Giga Dépanneur Spécialiste,4 avenue de Joseph,64601 Sainte Marianneboeuf,Capteur,Capteur de luminosité,21,14.2,2021-01-04
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Quartz,45,15.99,2021-01-04
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants servant d'interface humaine,Haut-parleur,22,14.84,2021-01-04
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Composants d'électroniques numériques,Quartz,50,15.99,2021-01-04
Brun Plate-forme Elec Spécialiste,81 boulevard de Meyer,53723 Chauvet,Composants servant d'interface humaine,Commutateur,10,2.53,2021-01-04
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Opto-coupleur,37,30.56,2021-01-04
Maury Top Électricité Spécialiste,88 avenue Arthur Lemaire,95525 Sainte Frédériquenec,Composants d'électroniques analogiques,Memristor,17,25.42,2021-01-04
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Commutateur,50,2.48,2021-01-05
Gosselin Plate-forme Dépanneur 2000,39 rue Noémi Leroux,85849 Charpentier-les-Bains,Composants servant d'interface humaine,Buzzer,9,31.83,2021-01-05
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Roue codeuse,7,,2021-01-05
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,LED,37,,2021-01-05
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Composants d'électroniques analogiques,Diode,27,24.02,2021-01-05
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Quartz,42,15.99,2021-01-05
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Caméra,26,26.85,2021-01-05
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Roue codeuse,44,2.31,2021-01-05
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants d'électroniques analogiques,Photocoupleur,17,10.08,2021-01-05
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques analogiques,Photocoupleur,50,10.08,2021-01-05
Joubert Plate-forme Électricité Pièces,68 avenue Mahe,42201 Saint Rémy,Composants servant d'interface humaine,Commutateur,34,2.58,2021-01-05
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Capteur,Capteur optique,28,14.79,2021-01-06
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Roue codeuse,41,2.31,2021-01-06
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Capteur,Capteur de pression,47,12.1,2021-01-06
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants d'électroniques numériques,Mémoire informatique,13,23.77,2021-01-06
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques analogiques,Memristor,12,24.43,2021-01-07
Roger Appolo Elec Spécialiste,1 rue de Guyot,20249 Huetboeuf,Composants d'électroniques numériques,Microcontrôleur,21,28.62,2021-01-07
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,LED,23,3.47,2021-01-07
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Capteur,Capteur de champ magnétique,29,14.98,2021-01-07
Lamy Plate-forme Électricité Pro,12 rue Dijoux,35047 Auger,Composants servant d'interface humaine,Buzzer,26,31.83,2021-01-07
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Interrupteur,45,9.21,2021-01-08
Maury Excel Dépanneur Plus,3 chemin Dupuis,41146 Gonzalez,Composants servant d'interface humaine,Buzzer,7,32.47,2021-01-08
Valentin Giga Elec Plus,91 rue Rodriguez,82255 Sainte Isabelle-la-Forêt,Composants servant d'interface humaine,Haut-parleur,23,15.14,2021-01-08
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants servant d'interface humaine,Afficheur,29,26.28,2021-01-08
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants d'électroniques numériques,Mémoire informatique,3,22.84,2021-01-08
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Composants d'électroniques numériques,Microcontrôleur,22,28.62,2021-01-08
Mace Appolo Électricité Plus,895 boulevard de Grenier,04254 Sainte Marceldan,Composants servant d'interface humaine,LED,34,3.61,2021-01-08
Marty Excel Dépanneur ++,12 rue de Rossi,93121 Sainte YvesBourg,Composants d'électroniques numériques,Mémoire informatique,43,25.22,2021-01-09
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,Roue codeuse,37,2.31,2021-01-09
Bouvet Top Elec Composants,237 avenue Marguerite Renault,37633 Sainte Alexandriadan,Composants servant d'interface humaine,LED,18,4.07,2021-01-09
Hamel Appolo Elec 2000,52 avenue de Dupuis,28423 Saint Manonnec,Composants d'électroniques analogiques,Memristor,22,25.42,2021-01-09
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques analogiques,Memristor,42,24.43,2021-01-09
Leroux Appolo Électricité Composants,83 avenue Lévy,85534 Lefebvre,Composants servant d'interface humaine,Haut-parleur,37,15.14,2021-01-09
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Composants servant d'interface humaine,LED,6,3.61,2021-01-09
Simon Plate-forme Électricité Spécialiste,36 boulevard de Bazin,63061 Sainte AlexVille,Composants d'électroniques numériques,Mémoire informatique,23,25.22,2021-01-10
Lagarde Plate-forme Dépanneur Spécialiste,4 rue de Michaud,33414 VoisinBourg,Composants servant d'interface humaine,Haut-parleur,26,15.14,2021-01-10
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Buzzer,5,31.83,2021-01-10
Lagarde Top Dépanneur ++,50 avenue Carpentier,63501 Le Roux,Composants d'électroniques numériques,Microprocesseur,47,6.77,2021-01-10
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Mémoire informatique,15,21.52,2021-01-10
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants servant d'interface humaine,Interrupteur,6,9.21,2021-01-10
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Microprocesseur,10,6.38,2021-01-10
Adam Giga Dépanneur Spécialiste,4 avenue de Joseph,64601 Sainte Marianneboeuf,Composants d'électroniques numériques,Microprocesseur,3,6.64,2021-01-10
Renard Confiance Électricité Pro,796 rue Garcia,60999 Andre,Capteur,Thermistance,23,21.28,2021-01-10
Leroux Confiance Dépanneur 2000,61 rue Julie Millet,80567 Denis,Capteur,Capteur de pression,28,12.1,2021-01-11
Gosselin Confiance Électricité Composants,31 chemin de Benard,24506 Gilles,Composants servant d'interface humaine,Interrupteur,49,9.77,2021-01-11
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Mémoire informatique,41,21.52,2021-01-11
Marty Excel Dépanneur ++,12 rue de Rossi,93121 Sainte YvesBourg,Composants d'électroniques numériques,Microprocesseur,5,6.77,2021-01-11
Julien Excel Dépanneur Pièces,5 chemin Alexandrie Valette,55253 Saint Corinne-les-Bains,Composants servant d'interface humaine,LED,43,3.83,2021-01-11
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants d'électroniques numériques,Mémoire informatique,10,23.3,2021-01-11
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Capteur,Capteur de champ magnétique,22,15.28,2021-01-12
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,LED,46,3.54,2021-01-12
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques analogiques,Transistor,14,33.63,2021-01-12
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Composants servant d'interface humaine,Interrupteur,5,9.21,2021-01-12
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Capteur,Capteur de champ magnétique,13,14.98,2021-01-12
Hamel Confiance Électricité Spécialiste,53 chemin de Techer,46919 Charpentier-sur-Blanchet,Composants servant d'interface humaine,Afficheur,30,27.9,2021-01-12
Picard Giga Dépanneur Pro,39 rue de Bernard,76328 Bodinnec,Composants servant d'interface humaine,LED,42,3.83,2021-01-12
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Composants d'électroniques numériques,Microprocesseur,18,6.51,2021-01-12
Leroux Giga Elec Pièces,22 rue de Dijoux,43767 Giraud,Composants d'électroniques numériques,Microcontrôleur,8,28.62,2021-01-13
Albert Giga Électricité Pro,500 rue Martel,72022 Berthelot,Composants servant d'interface humaine,Afficheur,24,27.35,2021-01-13
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Roue codeuse,33,2.26,2021-01-13
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Composants d'électroniques numériques,Microcontrôleur,23,28.62,2021-01-13
Hubert-Dupuy Appolo Électricité 2000,515 rue de Bonnin,24567 Masse,Composants d'électroniques analogiques,Résistance,22,23.41,2021-01-13
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Opto-coupleur,16,31.17,2021-01-13
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Composants servant d'interface humaine,Haut-parleur,22,15.14,2021-01-13
Gosselin Giga Dépanneur Pro,22 boulevard Danielle Bonnin,45599 Saint Jacques,Composants servant d'interface humaine,Potentiomètre,10,8.29,2021-01-13
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Afficheur,13,26.28,2021-01-13
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,Commutateur,41,2.53,2021-01-13
Gosselin Giga Dépanneur ++,51 chemin Auguste Martineau,59253 Mercier-sur-Hardy,Composants d'électroniques analogiques,Résistance,38,22.95,2021-01-14
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,LED,18,3.47,2021-01-14
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Composants d'électroniques analogiques,Photocoupleur,27,10.28,2021-01-14
Hamel Appolo Elec 2000,52 avenue de Dupuis,28423 Saint Manonnec,Composants d'électroniques analogiques,Résistance,8,22.5,2021-01-14
Lelievre Top Elec Pièces,91 rue de Louis,45610 Meunier,Composants servant d'interface humaine,Commutateur,49,2.53,2021-01-14
Valentin Confiance Elec Spécialiste,53 avenue Raymond Leconte,74678 Blot,Composants servant d'interface humaine,Buzzer,15,31.83,2021-01-14
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Roue codeuse,8,2.31,2021-01-14
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Mémoire informatique,35,20.69,2021-01-14
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Composants servant d'interface humaine,Commutateur,22,2.53,2021-01-15
Picard Giga Électricité 2000,301 rue Isaac Collet,32668 Reynaud,Composants d'électroniques numériques,Microprocesseur,34,6.38,2021-01-15
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants d'électroniques analogiques,Diode,10,24.02,2021-01-15
Brun Plate-forme Elec Spécialiste,81 boulevard de Meyer,53723 Chauvet,Composants servant d'interface humaine,Haut-parleur,21,14.84,2021-01-15
Bouvet Plate-forme Elec Spécialiste,66 avenue Cécile Salmon,05223 Roussel,Composants d'électroniques analogiques,Transistor,10,33.63,2021-01-15
Marty Confiance Dépanneur Pro,69 avenue de Da Silva,88501 AdamBourg,Composants d'électroniques numériques,Mémoire informatique,19,24.25,2021-01-15
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques analogiques,Inductance,37,11.81,2021-01-15
